Company Name,Industry,Symbol,Series,ISIN Code
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
