Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
