Company Name,Industry,Symbol,Series,ISIN Code
ANGELONE,Financial Services,ANGELONE,EQ,INE732I01013
APARINDS,Capital Goods,APARINDS,EQ,INE372A01015
AUROPHARMA,Healthcare,AUROPHARMA,EQ,INE406A01037
BHEL,Capital Goods,BHEL,EQ,INE257A01026
BSE,Financial Services,BSE,EQ,INE118H01025
BSOFT,Information Technology,BSOFT,EQ,INE836A01035
CDSL,Financial Services,CDSL,EQ,INE736A01011
COCHINSHIP,Capital Goods,COCHINSHIP,EQ,INE704P01025
CYIENT,Information Technology,CYIENT,EQ,INE136B01020
ECLERX,Services,ECLERX,EQ,INE738I01010
FACT,Chemicals,FACT,EQ,INE188A01015
GICRE,Financial Services,GICRE,EQ,INE481Y01014
GPIL,Capital Goods,GPIL,EQ,INE177H01021
HAL,Capital Goods,HAL,EQ,INE066F01020
IRCON,Construction,IRCON,EQ,INE962Y01021
IRFC,Financial Services,IRFC,EQ,INE053F01010
ITI,Telecommunication,ITI,EQ,INE248A01017
JINDALSAW,Capital Goods,JINDALSAW,EQ,INE324A01024
JYOTHYLAB,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
KALYANKJIL,Consumer Durables,KALYANKJIL,EQ,INE303R01014
KARURVYSYA,Financial Services,KARURVYSYA,EQ,INE036D01028
KAYNES,Capital Goods,KAYNES,EQ,INE918Z01012
KPITTECH,Information Technology,KPITTECH,EQ,INE04I401011
LUPIN,Healthcare,LUPIN,EQ,INE326A01037
MAPMYINDIA,Information Technology,MAPMYINDIA,EQ,INE0BV301023
MAZDOCK,Capital Goods,MAZDOCK,EQ,INE249Z01012
MCX,Financial Services,MCX,EQ,INE745G01035
MEDANTA,Healthcare,MEDANTA,EQ,INE474Q01031
MOTILALOFS,Financial Services,MOTILALOFS,EQ,INE338I01027
MRPL,"Oil, Gas & Consumable Fuels",MRPL,EQ,INE103A01014
NIACL,Financial Services,NIACL,EQ,INE470Y01017
NLCINDIA,Power,NLCINDIA,EQ,INE589A01014
PCBL,Chemicals,PCBL,EQ,INE602A01031
PFC,Financial Services,PFC,EQ,INE134E01011
PNBHOUSING,Financial Services,PNBHOUSING,EQ,INE572E01012
POLYCAB,Capital Goods,POLYCAB,EQ,INE455K01017
PRESTIGE,Realty,PRESTIGE,EQ,INE811K01011
RECLTD,Financial Services,RECLTD,EQ,INE020B01018
SAFARI,Consumer Durables,SAFARI,EQ,INE429E01023
SHYAMMETL,Capital Goods,SHYAMMETL,EQ,INE810G01011
SJVN,Power,SJVN,EQ,INE002L01015
SOLARINDS,Chemicals,SOLARINDS,EQ,INE343H01029
SONATSOFTW,Information Technology,SONATSOFTW,EQ,INE269A01021
SUPREMEIND,Capital Goods,SUPREMEIND,EQ,INE195A01028
SUZLON,Capital Goods,SUZLON,BE,INE040H01021
TATAINVEST,Financial Services,TATAINVEST,BE,INE672A01018
TORNTPOWER,Power,TORNTPOWER,EQ,INE813H01021
TRENT,Consumer Services,TRENT,EQ,INE849A01020
WELCORP,Capital Goods,WELCORP,EQ,INE191B01025
ZENSARTECH,Information Technology,ZENSARTECH,EQ,INE520A01027
