Company Name,Industry,Symbol,Series,ISIN Code
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
