Company Name,Industry,Symbol,Series,ISIN Code
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
