Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
DLF Ltd.,Realty,DLF,EQ,INE271C01023
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
SJVN Ltd.,Power,SJVN,EQ,INE002L01015
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
