Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Castrol India Ltd.,"Oil, Gas & Consumable Fuels",CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
