Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Reliance Industries Ltd.,"Oil, Gas & Consumable Fuels",RELIANCE,EQ,INE002A01018
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
