Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Trading - Minerals,ADANIENT,EQ,INE423A01024
Adani Ports and Special Economic Zone Ltd.,Port & Port services,ADANIPORTS,EQ,INE742F01042
Apollo Hospitals Enterprise Ltd.,Hospital,APOLLOHOSP,EQ,INE437A01024
Axis Bank Ltd.,Private Sector Bank,AXISBANK,EQ,INE238A01034
Bajaj Finance Ltd.,Non Banking Financial Company (NBFC),BAJFINANCE,EQ,INE296A01024
Bharti Airtel Ltd.,Telecom - Cellular & Fixed line services,BHARTIARTL,EQ,INE397D01024
Coal India Ltd.,Coal,COALINDIA,EQ,INE522F01014
IndusInd Bank Ltd.,Private Sector Bank,INDUSINDBK,EQ,INE095A01012
Maruti Suzuki India Ltd.,Passenger Cars & Utility Vehicles,MARUTI,EQ,INE585B01010
Reliance Industries Ltd.,Refineries & Marketing,RELIANCE,EQ,INE002A01018
Shriram Finance Ltd.,Non Banking Financial Company (NBFC),SHRIRAMFIN,EQ,INE721A01013
State Bank of India,Public Sector Bank,SBIN,EQ,INE062A01020
Tata Motors Ltd.,Passenger Cars & Utility Vehicles,TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,Iron & Steel,TATASTEEL,EQ,INE081A01020
Titan Company Ltd.,Gems Jewellery And Watches,TITAN,EQ,INE280A01028
