Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
Dummy Sanofi India Ltd.,Healthcare,DUMMYSANOF,BE,DUM058A01010
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
