Company Name,Industry,Symbol,Series,ISIN Code
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
