Company Name,Industry,Symbol,Series,ISIN Code
A B Cotspin India Ltd.,Textiles,ABCOTS,SM,INE08PH01015
A B Infrabuild Ltd.,Construction,ABINFRA,SM,INE00YB01017
A G Universal Ltd.,Capital Goods,AGUL,SM,INE0O6N01012
ANI Integrated Services Ltd.,Services,AISL,ST,INE635Y01015
ASL Industries Ltd.,Automobile and Auto Components,ASLIND,ST,INE617I01024
Aatmaj Healthcare Ltd.,Healthcare,AATMAJ,SM,INE0OB201016
Abhishek Integrations Ltd.,Construction,AILIMITED,ST,INE0CAJ01017
Accent Microcell Ltd.,Healthcare,ACCENTMIC,SM,INE0Q5D01013
Accord Synergy Ltd.,Telecommunication,ACCORD,SM,INE113X01015
Agarwal Float Glass India Ltd.,Capital Goods,AGARWALFT,ST,INE0MLA01012
Agni Green Power Ltd.,Construction,AGNI,SM,INE0LF301013
Akanksha Power and Infrastructure Ltd.,Capital Goods,AKANKSHA,SM,INE0PCY01014
All E Technologies Ltd.,Information Technology,ALLETEC,SM,INE0M2X01012
Ambani Organics Ltd.,Chemicals,AMBANIORG,SM,INE00C501018
Ameya Precision Engineers Ltd.,Capital Goods,AMEYA,SM,INE0KT901015
Amiable Logistics (India) Ltd.,Services,AMIABLE,SM,INE0MTP01013
Anlon Technology Solutions Ltd.,Services,ANLON,SM,INE0LR101013
Annapurna Swadisht Ltd.,Fast Moving Consumer Goods,ANNAPURNA,SM,INE0MGM01017
Arabian Petroleum Ltd.,Oil Gas & Consumable Fuels,ARABIAN,SM,INE08NJ01024
Arham Technologies Ltd.,Consumer Durables,ARHAM,ST,INE0L2Y01011
Arihant Academy Ltd.,Consumer Services,ARIHANTACA,SM,INE0NCC01015
Aristo Bio-Tech and Lifescience Ltd.,Chemicals,ARISTO,SM,INE082101010
Arvind and Company Shipping Agencies Ltd.,Services,ACSAL,SM,INE0P4T01013
Aurangabad Distillery Ltd.,Fast Moving Consumer Goods,AURDIS,SM,INE448V01019
Auro Impex & Chemicals Ltd.,Capital Goods,AUROIMPEX,SM,INE0NUL01018
BEW Engineering Ltd.,Capital Goods,BEWLTD,SM,INE0HQI01014
Baba Food Processing (India) Ltd.,Fast Moving Consumer Goods,BABAFP,SM,INE0QW501012
Baheti Recycling Industries Ltd.,Capital Goods,BAHETI,SM,INE029Q01017
Basilic Fly Studio Ltd.,Media Entertainment & Publication,BASILIC,SM,INE0OCC01013
Beta Drugs Ltd.,Healthcare,BETA,SM,INE351Y01019
Bombay Metrics Supply Chain Ltd.,Services,BMETRICS,SM,INE0I3Y01014
Bright Solar Ltd.,Capital Goods,BRIGHT,SM,INE684Z01010
C P S Shapers Ltd.,Textiles,CPS,ST,INE0QBU01012
CMM Infraprojects Ltd.,Construction,CMMIPL,ST,INE289S01013
Cadsys (India) Ltd.,Services,CADSYS,ST,INE090Y01013
Canarys Automations Ltd.,Information Technology,CANARYS,SM,INE0QG301017
Cell Point (India) Ltd.,Consumer Services,CELLPOINT,SM,INE0O0001013
Cellecor Gadgets Ltd.,Consumer Durables,CELLECOR,SM,INE0OMO01017
Chaman Metallics Ltd.,Metals & Mining,CMNL,SM,INE06PV01010
Chavda Infra Ltd.,Construction,CHAVDA,SM,INE0PT101017
Committed Cargo Care Ltd.,Services,COMMITTED,SM,INE597Z01014
Continental Seeds and Chemicals Ltd.,Fast Moving Consumer Goods,CONTI,SM,INE340Z01019
Cool Caps Industries Ltd.,Capital Goods,COOLCAPS,SM,INE0HS001010
Crayons Advertising Ltd.,Media Entertainment & Publication,CRAYONS,SM,INE0OFK01019
Crop Life Science Ltd.,Chemicals,CLSL,SM,INE00NH01017
Cyber Media Research & Services Ltd.,Media Entertainment & Publication,CMRSL,SM,INE075Z01011
D.K. Enterprises Global Ltd.,Capital Goods,DKEGL,SM,INE0GN101014
DUDIGITAL GLOBAL LTD.,Consumer Services,DUGLOBAL,SM,INE0HPK01020
De Neers Tools Ltd.,Capital Goods,DENEERS,SM,INE0JWV01011
Destiny Logistics & Infra Ltd.,Construction,DESTINY,ST,INE0IGO01011
Dhanuka Realty Ltd.,Realty,DRL,SM,INE704V01015
Digikore Studios Ltd.,Media Entertainment & Publication,DIGIKORE,SM,INE0QJ901011
Dollex Agrotech Ltd.,Fast Moving Consumer Goods,DOLLEX,SM,INE0JHH01011
Drone Destination Ltd.,Consumer Services,DRONE,SM,INE0P7201019
Ducol Organics And Colours Ltd.,Chemicals,DUCOL,SM,INE0LZO01015
Dynamic Services & Security Ltd.,Services,DYNAMIC,SM,INE0DZ701010
E Factor Experiences Ltd.,Consumer Services,EFACTOR,SM,INE0KFF01017
Electro Force (India) Ltd.,Capital Goods,EFORCE,SM,INE0Q1W01012
Emkay Taps and Cutting Tools Ltd.,Capital Goods,EMKAYTOOLS,SM,INE332S01011
Essen Speciality Films Ltd.,Consumer Durables,ESFL,SM,INE0ITO01014
Euro Panel Products Ltd.,Capital Goods,EUROBOND,SM,INE505V01016
Felix Industries Ltd.,Utilities,FELIX,SM,INE901X01013
Fidel Softech Ltd.,Information Technology,FIDEL,SM,INE0LQQ01019
Foce India Ltd.,Consumer Durables,FOCE,SM,INE0I7D01019
Frog Cellsat Ltd.,Telecommunication,FROG,SM,INE385O01018
Gayatri Rubbers And Chemicals Ltd.,Capital Goods,GRCL,SM,INE0LVM01018
Giriraj Civil Developers Ltd.,Construction,GIRIRAJ,ST,INE614Z01017
Global Pet Industries Ltd.,Capital Goods,GLOBALPET,SM,INE0PS501019
Globe International Carriers Ltd.,Services,GICL,SM,INE947T01014
Globesecure Technologies Ltd.,Information Technology,GSTL,SM,INE00WS01056
Goldstar Power Ltd.,Automobile and Auto Components,GOLDSTAR,SM,INE405Y01021
Goyal Salt Ltd.,Fast Moving Consumer Goods,GOYALSALT,SM,INE0QFE01017
Graphisads Ltd.,Media Entertainment & Publication,GRAPHISAD,SM,INE0POU01017
Greenchef Appliances Ltd.,Consumer Durables,GREENCHEF,SM,INE0O7P01015
HRH Next Services Ltd.,Services,HRHNEXT,SM,INE0R3501012
Hi-Green Carbon Ltd.,Utilities,HIGREEN,SM,INE0PIC01017
Holmarc Opto-Mechatronics Ltd.,Capital Goods,HOLMARC,SM,INE0LXA01019
Homesfy Realty Ltd.,Realty,HOMESFY,ST,INE0N7F01017
IBL Finance Ltd.,Financial Services,IBLFL,SM,INE0O7401018
Indifra Ltd.,Oil Gas & Consumable Fuels,INDIFRA,SM,INE0PS301014
Infinium Pharmachem Ltd.,Healthcare,INFINIUM,SM,INE0MRE01011
Infollion Research Services Ltd.,Services,INFOLLION,SM,INE0NNZ01013
Innovana Thinklabs Ltd.,Information Technology,INNOVANA,SM,INE403Y01018
Innovative Tyres and Tubes Ltd.,Automobile and Auto Components,INNOVATIVE,SM,INE070Y01015
Inspire Films Ltd.,Media Entertainment & Publication,INSPIRE,SM,INE0NDX01019
Integrated Personnel Services Ltd.,Services,IPSL,SM,INE02EE01019
Ishan International Ltd.,Capital Goods,ISHAN,SM,INE0LCW01025
JFL Life Sciences Ltd.,Healthcare,JFLLIFE,SM,INE0LA901015
Jainam Ferro Alloys (I) Ltd.,Metals & Mining,JAINAM,SM,INE02KC01010
Jalan Transolutions (India) Ltd.,Services,JALAN,SM,INE349X01015
Jay Jalaram Technologies Ltd.,Consumer Services,KORE,SM,INE0J6801010
Jeena Sikho Lifecare Ltd.,Healthcare,JSLL,ST,INE0J5801011
Jiwanram Sheoduttrai Industries Ltd.,Capital Goods,JIWANRAM,SM,INE0N5H01017
KHFM Hospitality And Facility Management Services Ltd.,Services,KHFM,SM,INE00UG01014
KN Agri Resources Ltd.,Fast Moving Consumer Goods,KNAGRI,SM,INE0KNW01016
Kandarp Digi Smart BPO Ltd.,Services,KANDARP,SM,INE0MOT01016
Karnika Industries Ltd.,Textiles,KARNIKA,SM,INE0MGA01012
Kaushalya Logistics Ltd.,Consumer Services,KLL,SM,INE0Q2V01012
Kay Cee Energy & Infra Ltd.,Construction,KCEIL,SM,INE0RCG01017
Kck Industries Ltd.,Fast Moving Consumer Goods,KCK,ST,INE0J1E01019
Kody Technolab Ltd.,Information Technology,KODYTECH,SM,INE0Q7P01013
Kontor Space Ltd.,Services,KONTOR,SM,INE0KZ301010
Kore Digital Ltd.,Telecommunication,KDL,SM,INE0O4R01018
Kotyark Industries Ltd.,Oil Gas & Consumable Fuels,KOTYARK,SM,INE0J0B01017
Krishca Strapping Solutions Ltd.,Capital Goods,KRISHCA,SM,INE0NR701018
Krishival Foods Ltd.,Fast Moving Consumer Goods,KRISHIVAL,SM,INE0GGO01015
Krishna Defence and Allied Industries Ltd.,Capital Goods,KRISHNADEF,SM,INE0J5601015
Kundan Edifice Ltd.,Consumer Durables,KEL,SM,INE0OWX01025
Le Merite Exports Ltd.,Textiles,LEMERITE,SM,INE0G1L01017
Lead Reclaim And Rubber Products Ltd.,Capital Goods,LRRPL,SM,INE0H4B01011
Lloyds Luxuries Ltd.,Consumer Services,LLOYDS,SM,INE0DTQ01028
Madhusudan Masala Ltd.,Fast Moving Consumer Goods,MADHUSUDAN,SM,INE0P6701019
Madhya Pradesh Today Media Ltd.,Media Entertainment & Publication,MPTODAY,SM,INE105Y01019
Magson Retail And Distribution Ltd.,Consumer Services,MAGSON,SM,INE0O1S01012
Mahickra Chemicals Ltd.,Chemicals,MAHICKRA,SM,INE961Y01015
Maitreya Medicare Ltd.,Healthcare,MAITREYA,SM,INE0PLQ01011
Maks Energy Solutions India Ltd.,Capital Goods,MAKS,SM,INE0CDK01019
Manav Infra Projects Ltd.,Construction,MANAV,SM,INE104Y01012
Mangalam Alloys Ltd.,Capital Goods,MAL,SM,INE00C401011
Mangalam Worldwide Ltd.,Metals & Mining,MWL,SM,INE0JYY01011
Marco Cables & Conductors Ltd.,Capital Goods,MARCO,SM,INE0QP001012
Marinetrans India Ltd.,Services,MARINETRAN,SM,INE0P1P01017
Marvel Decor Ltd.,Consumer Durables,MDL,SM,INE575Z01010
Master Components Ltd.,Capital Goods,MASTER,SM,INE0OJM01017
Mcon Rasayan India Ltd.,Construction Materials,MCON,SM,INE0O4M01019
Mega Flex Plastics Ltd.,Capital Goods,MEGAFLEX,SM,INE0G1D01014
Micropro Software Solutions Ltd.,Information Technology,MICROPRO,SM,INE0PZK01014
Milton Industries Ltd.,Consumer Durables,MILTON,SM,INE376Y01016
Mindpool Technologies Ltd.,Information Technology,MINDPOOL,ST,INE00RQ01019
Mohini Health & Hygiene Ltd.,Healthcare,MHHL,SM,INE450S01011
Mono Pharmacare Ltd.,Healthcare,MONOPHARMA,SM,INE0OIP01012
Mos Utility Ltd.,Financial Services,MOS,SM,INE0N7S01010
Moxsh Overseas Educon Ltd.,Consumer Services,MOXSH,SM,INE0N6D01014
Net Avenue Technologies Ltd.,Consumer Services,CBAZAAR,SM,INE518X01015
Network People Services Technologies Ltd.,Information Technology,NPST,SM,INE0FFK01017
Newjaisa Technologies Ltd.,Information Technology,NEWJAISA,SM,INE0PW501021
Nidan Laboratories And Healthcare Ltd.,Healthcare,NIDAN,SM,INE0J6L01013
Nirman Agri Gentics Ltd.,Fast Moving Consumer Goods,NIRMAN,SM,INE0OK701014
Omfurn India Ltd.,Consumer Durables,OMFURN,SM,INE338Y01016
On Door Concepts Ltd.,Consumer Services,ONDOOR,SM,INE00ER01015
Oneclick Logistics India Ltd.,Services,OLIL,SM,INE0OPS01011
Oriana Power Ltd.,Capital Goods,ORIANA,SM,INE0OUT01019
P. E. Analytics Ltd.,Realty,PROPEQUITY,SM,INE0KN801013
Paragon Fine and Speciality Chemical Ltd.,Chemicals,PARAGON,SM,INE0N4G01012
Parin Furniture Ltd.,Consumer Durables,PARIN,SM,INE00U801010
Party Cruisers Ltd.,Consumer Services,PARTYCRUS,SM,INE06ZX01015
Pattech Fitwell Tube Components Ltd.,Capital Goods,PATTECH,ST,INE0NZW01014
Pentagon Rubber Ltd.,Capital Goods,PENTAGON,SM,INE0ORS01017
Perfect Infraengineers Ltd.,Capital Goods,PERFECT,SM,INE925S01012
Phantom Digital Effects Ltd.,Media Entertainment & Publication,PHANTOMFX,SM,INE0MLZ01019
Plada Infotech Services Ltd.,Services,PLADAINFO,SM,INE0PXD01014
Pramara Promotions Ltd.,Media Entertainment & Publication,PRAMARA,SM,INE0O7A01017
Precision Metaliks Ltd.,Automobile and Auto Components,PRECISION,SM,INE0HKW01018
Presstonic Engineering Ltd.,Capital Goods,PRESSTONIC,SM,INE0R1601012
Pritika Engineering Components Ltd.,Automobile and Auto Components,PRITIKA,SM,INE0MJQ01012
Prolife Industries Ltd.,Chemicals,PROLIFE,SM,INE994V01012
Proventus Agrocom Ltd.,Fast Moving Consumer Goods,PROV,SM,INE0ONE01016
Pulz Electronics Ltd.,Consumer Durables,PULZ,SM,INE335X01014
QMS Medical Allied Services Ltd.,Healthcare,QMSMEDI,SM,INE0FMW01018
Quadpro ITeS Ltd.,Information Technology,QUADPRO,SM,INE0GOJ01027
Quality Foils (India) Ltd.,Capital Goods,QFIL,SM,INE0O1M01015
Quicktouch Technologies Ltd.,Information Technology,QUICKTOUCH,SM,INE0K4D01020
R M Drip and Sprinklers Systems Ltd.,Capital Goods,RMDRIP,SM,INE219Y01018
RBM Infracon Ltd.,Oil Gas & Consumable Fuels,RBMINFRA,SM,INE0NA301016
Rachana Infrastructure Ltd.,Construction,RILINFRA,SM,INE02OY01016
Rajgor Castor Derivatives Ltd.,Fast Moving Consumer Goods,RCDL,SM,INE0BZQ01011
Remus Pharmaceuticals Ltd.,Healthcare,REMUS,SM,INE0O5T01011
Rex Pipes and Cables Industries Ltd.,Capital Goods,REXPIPES,SM,INE00D001018
Richa Info Systems Ltd.,Information Technology,RICHA,SM,INE0J1P01015
Rite Zone Chemcon India Ltd.,Chemicals,RITEZONE,SM,INE0MRA01019
Rockingdeals Circular Economy Ltd.,Services,ROCKINGDCE,SM,INE0PTR01012
